11-20-2017,17:06:40
Wavenumber(cm-1),Intensity
 250 , 26034.059902715 
 251 , 26059.0788614096 
 252 , 26092.5817448736 
 253 , 26133.4857522946 
 254 , 26168.2873315328 
 255 , 26183.6436186902 
 256 , 26184.030343422 
 257 , 26187.1766691853 
 258 , 26207.3264848422 
 259 , 26238.1865059849 
 260 , 26266.5845356592 
 261 , 26285.9022227492 
 262 , 26304.6192158814 
 263 , 26332.9738507017 
 264 , 26372.0881249853 
 265 , 26413.4497964334 
 266 , 26449.3344474083 
 267 , 26482.1942592917 
 268 , 26519.438341134 
 269 , 26565.6208033185 
 270 , 26615.7162391526 
 271 , 26662.7854890261 
 272 , 26703.4467047251 
 273 , 26739.5002312612 
 274 , 26773.3233796376 
 275 , 26809.3526405764 
 276 , 26853.4063330483 
 277 , 26909.5679524149 
 278 , 26973.701381394 
 279 , 27039.2821236857 
 280 , 27100.8793541731 
 281 , 27155.2076774974 
 282 , 27199.24676585 
 283 , 27230.2691578101 
 284 , 27245.8073061648 
 285 , 27245.8130614841 
 286 , 27245.6225395457 
 287 , 27266.5949607376 
 288 , 27318.9333658974 
 289 , 27383.9815692425 
 290 , 27439.036767027 
 291 , 27477.5118546273 
 292 , 27511.108178753 
 293 , 27550.9437925645 
 294 , 27594.7353864573 
 295 , 27633.4158325731 
 296 , 27661.2358209991 
 297 , 27683.6451295027 
 298 , 27708.2806571187 
 299 , 27736.3986301503 
 300 , 27760.2683628411 
 301 , 27772.246444958 
 302 , 27773.2130424696 
 303 , 27769.3839467848 
 304 , 27767.7150841666 
 305 , 27777.8930679318 
 306 , 27810.1926304467 
 307 , 27865.5492026938 
 308 , 27929.0297979522 
 309 , 27985.0034896205 
 310 , 28029.8995587849 
 311 , 28069.1495522308 
 312 , 28107.9926691783 
 313 , 28149.6254933224 
 314 , 28196.6059900004 
 315 , 28251.3526842244 
 316 , 28316.0067950059 
 317 , 28392.0356395451 
 318 , 28469.4877019009 
 319 , 28528.5819090257 
 320 , 28554.1302412523 
 321 , 28559.6160704433 
 322 , 28568.8576809934 
 323 , 28597.8353533035 
 324 , 28644.7369514301 
 325 , 28705.1307046378 
 326 , 28770.952329306 
 327 , 28830.6446416337 
 328 , 28874.3577783325 
 329 , 28904.3957674304 
 330 , 28927.9684652763 
 331 , 28951.3757384052 
 332 , 28978.6102058415 
 333 , 29013.1528736314 
 334 , 29054.5909340444 
 335 , 29098.4577637069 
 336 , 29140.4114338014 
 337 , 29178.3547369311 
 338 , 29211.1689140984 
 339 , 29238.4707260294 
 340 , 29261.8260045325 
 341 , 29283.1059395346 
 342 , 29303.7550179147 
 343 , 29324.7514405612 
 344 , 29346.7677936062 
 345 , 29368.3644837059 
 346 , 29387.1451459848 
 347 , 29401.4959018709 
 348 , 29411.9659058019 
 349 , 29419.5231428977 
 350 , 29426.5556701247 
 351 , 29437.0306389873 
 352 , 29454.7829202291 
 353 , 29482.0241875656 
 354 , 29520.2231931588 
 355 , 29570.054314766 
 356 , 29630.0275821183 
 357 , 29698.1764388166 
 358 , 29769.5400625245 
 359 , 29835.872929283 
 360 , 29890.2797821305 
 361 , 29937.0048283638 
 362 , 29985.2477789326 
 363 , 30040.9954785019 
 364 , 30101.7049318097 
 365 , 30163.486804692 
 366 , 30223.5267123176 
 367 , 30280.1381591039 
 368 , 30331.8769965295 
 369 , 30378.5959830568 
 370 , 30420.6916884239 
 371 , 30458.3387533424 
 372 , 30491.162456167 
 373 , 30518.9246258502 
 374 , 30546.1918926664 
 375 , 30582.206348409 
 376 , 30634.1693353062 
 377 , 30695.4474838324 
 378 , 30754.1346176405 
 379 , 30801.6047628495 
 380 , 30836.5137015806 
 381 , 30858.7785137297 
 382 , 30873.5352897308 
 383 , 30890.4864947693 
 384 , 30918.5029947091 
 385 , 30961.135676427 
 386 , 31020.0991736146 
 387 , 31091.2085508203 
 388 , 31158.8718666317 
 389 , 31207.3975096554 
 390 , 31238.8518220809 
 391 , 31268.8391819759 
 392 , 31310.8085225785 
 393 , 31366.8529490099 
 394 , 31435.7466559485 
 395 , 31509.8335206311 
 396 , 31570.9022606161 
 397 , 31601.8909437755 
 398 , 31610.3767958435 
 399 , 31619.7766747912 
 400 , 31648.0942882042 
 401 , 31692.2983110607 
 402 , 31744.5388254631 
 403 , 31799.2925925101 
 404 , 31854.1882575313 
 405 , 31907.6622376288 
 406 , 31963.3316909509 
 407 , 32027.5210331265 
 408 , 32102.1150644265 
 409 , 32175.9440488871 
 410 , 32235.9559775224 
 411 , 32282.3096339895 
 412 , 32329.5244481567 
 413 , 32389.8352546745 
 414 , 32455.3992881527 
 415 , 32510.1865176605 
 416 , 32545.9977984331 
 417 , 32572.3007530804 
 418 , 32600.4617976968 
 419 , 32632.9412945561 
 420 , 32664.6585951986 
 421 , 32692.2687430323 
 422 , 32722.1271863405 
 423 , 32763.4671115036 
 424 , 32818.0283532919 
 425 , 32874.8709759116 
 426 , 32922.6838958428 
 427 , 32959.9266896303 
 428 , 32991.287913794 
 429 , 33021.4118439042 
 430 , 33054.4333470878 
 431 , 33094.1214680672 
 432 , 33135.2451412291 
 433 , 33161.3608522135 
 434 , 33158.6972853375 
 435 , 33139.2226108564 
 436 , 33126.7407230262 
 437 , 33138.5519751214 
 438 , 33175.8255088321 
 439 , 33237.0404479704 
 440 , 33315.7883425156 
 441 , 33401.2905744638 
 442 , 33482.1378194718 
 443 , 33544.5025176757 
 444 , 33573.9990057338 
 445 , 33572.152778957 
 446 , 33567.4116743648 
 447 , 33588.4253077669 
 448 , 33637.3955013571 
 449 , 33700.126623107 
 450 , 33765.3587172756 
 451 , 33832.3506027514 
 452 , 33902.3336932808 
 453 , 33970.5902886709 
 454 , 34025.5726059293 
 455 , 34057.7296201304 
 456 , 34073.3595663188 
 457 , 34085.2357688279 
 458 , 34103.099226829 
 459 , 34130.2133929866 
 460 , 34168.8828346784 
 461 , 34219.4825537206 
 462 , 34280.9224195194 
 463 , 34349.8448898151 
 464 , 34413.802527897 
 465 , 34458.245034483 
 466 , 34477.7120928369 
 467 , 34479.0677724728 
 468 , 34470.5187818661 
 469 , 34463.9980369836 
 470 , 34473.2081796317 
 471 , 34504.8159253753 
 472 , 34548.2530412566 
 473 , 34591.1574699328 
 474 , 34635.0445656705 
 475 , 34693.254515244 
 476 , 34773.2069484194 
 477 , 34853.6003736623 
 478 , 34905.3724723875 
 479 , 34921.516016778 
 480 , 34927.4849283723 
 481 , 34948.3245346456 
 482 , 34982.9331189318 
 483 , 35016.7739988505 
 484 , 35040.3593638201 
 485 , 35057.4875736482 
 486 , 35074.0296173607 
 487 , 35095.1793381112 
 488 , 35125.5357873869 
 489 , 35168.3363057311 
 490 , 35220.6054507534 
 491 , 35277.5635515485 
 492 , 35334.0704042235 
