11-20-2017,16:47:30
Wavenumber(cm-1),Intensity
 250 , 10 
 251 , 10 
 252 , 10 
 253 , 10 
 254 , 10 
 255 , 45.015625 
 256 , 44.72265625 
 257 , 38.12109375 
 258 , 19.375 
 259 ,-1.8125 
 260 ,-10.28125 
 261 ,-1.1015625 
 262 , 11.171875 
 263 , 9.82421875 
 264 ,-6.40625 
 265 ,-20.99609375 
 266 ,-15.63671875 
 267 , 10.28125 
 268 , 50.1875 
 269 , 86.2734375 
 270 , 98.05078125 
 271 , 73.5703125 
 272 , 21.94921875 
 273 ,-19.140625 
 274 ,-17.99609375 
 275 , 21.25390625 
 276 , 70.98828125 
 277 , 108.36328125 
 278 , 138.0703125 
 279 , 169.34375 
 280 , 209.56640625 
 281 , 248.515625 
 282 , 268.7421875 
 283 , 270.578125 
 284 , 267.359375 
 285 , 272.6640625 
 286 , 292.89453125 
 287 , 330.88671875 
 288 , 380.17578125 
 289 , 414.609375 
 290 , 406.72265625 
 291 , 360.2421875 
 292 , 311.72265625 
 293 , 294.55078125 
 294 , 304.2890625 
 295 , 318.015625 
 296 , 318.80859375 
 297 , 307.07421875 
 298 , 286.3359375 
 299 , 257.04296875 
 300 , 216.8203125 
 301 , 163.57421875 
 302 , 104.6171875 
 303 , 53.62109375 
 304 , 22.078125 
 305 , 8.953125 
 306 , 9.29296875 
 307 , 16.8515625 
 308 , 26.765625 
 309 , 35.34765625 
 310 , 42.0546875 
 311 , 46.19921875 
 312 , 48.08203125 
 313 , 56.28125 
 314 , 82.625 
 315 , 132.99609375 
 316 , 199.3046875 
 317 , 271.546875 
 318 , 339.69921875 
 319 , 394.57421875 
 320 , 428.0859375 
 321 , 439.4765625 
 322 , 431.046875 
 323 , 409.41015625 
 324 , 388.25390625 
 325 , 381.2265625 
 326 , 391.3671875 
 327 , 412.46484375 
 328 , 438.0703125 
 329 , 461.8984375 
 330 , 477.6875 
 331 , 484.03125 
 332 , 492.05859375 
 333 , 514.2265625 
 334 , 546.8671875 
 335 , 569.484375 
 336 , 564.90625 
