11-20-2017,16:36:23
Wavenumber(cm-1),Intensity
 250 , 31998.6014420862 
 251 , 32004.2209596329 
 252 , 32015.860294903 
 253 , 32041.0444201129 
 254 , 32069.7504924691 
 255 , 32091.1081178268 
 256 , 32104.14418514 
 257 , 32115.2471624893 
 258 , 32129.4709353615 
 259 , 32143.7114225495 
 260 , 32152.1477220159 
 261 , 32155.4103584003 
 262 , 32168.9849386908 
 263 , 32209.7576733156 
 264 , 32277.2488695896 
 265 , 32352.6263689503 
 266 , 32418.0414064415 
 267 , 32470.8175116856 
 268 , 32515.6691613377 
 269 , 32556.2764675262 
 270 , 32592.7244156294 
 271 , 32624.4080497742 
 272 , 32653.5009001509 
 273 , 32686.2241188889 
 274 , 32728.4556212469 
 275 , 32777.9402109833 
 276 , 32826.9649053823 
 277 , 32869.9680298015 
 278 , 32911.9040753422 
 279 , 32960.7668415324 
 280 , 33021.0971538692 
 281 , 33090.6632546497 
 282 , 33166.1548238839 
 283 , 33238.8095734754 
 284 , 33295.0266813482 
 285 , 33324.1926716151 
 286 , 33335.8328211161 
 287 , 33347.3749361246 
 288 , 33369.9267330889 
 289 , 33398.219206472 
 290 , 33424.5398908138 
 291 , 33446.0226244387 
 292 , 33465.3009382528 
 293 , 33484.9203101428 
 294 , 33504.1410663581 
 295 , 33520.5608119442 
 296 , 33533.7629649976 
 297 , 33549.9720448551 
 298 , 33576.6256405936 
 299 , 33613.4376310718 
 300 , 33649.2433706692 
 301 , 33673.4107706331 
 302 , 33690.3904692922 
 303 , 33714.0746563175 
 304 , 33754.2558714239 
 305 , 33803.119278397 
 306 , 33848.3627864595 
 307 , 33883.7399234595 
 308 , 33913.2933378178 
 309 , 33941.965876145 
 310 , 33973.277951839 
 311 , 34009.6882120282 
 312 , 34052.8537204241 
 313 , 34100.5479883486 
 314 , 34149.3472800767 
 315 , 34197.8111707332 
 316 , 34248.450267624 
 317 , 34304.0682257959 
 318 , 34364.3526320431 
 319 , 34426.3087000619 
 320 , 34487.4216133719 
 321 , 34548.4880296789 
 322 , 34611.4925158856 
 323 , 34676.2058827384 
 324 , 34737.3790507938 
 325 , 34789.2144133058 
 326 , 34828.9781782262 
 327 , 34856.8826129572 
 328 , 34873.8688807948 
 329 , 34884.8862370182 
 330 , 34896.4994891806 
 331 , 34914.1128079374 
 332 , 34940.2199466981 
 333 , 34976.7591926887 
 334 , 35022.9825996964 
 335 , 35075.3456072486 
 336 , 35129.8225667581 
 337 , 35179.8821464162 
 338 , 35217.9075368672 
 339 , 35239.2365854358 
 340 , 35247.0917633471 
 341 , 35245.9979561726 
 342 , 35240.5757178722 
 343 , 35235.5501454346 
 344 , 35234.8720736772 
 345 , 35236.6524027391 
 346 , 35236.3581796238 
 347 , 35232.6717566363 
 348 , 35233.1459845247 
 349 , 35246.5088904316 
 350 , 35272.086752195 
 351 , 35298.7512702955 
 352 , 35317.0251892693 
 353 , 35334.036592316 
 354 , 35364.4917003519 
 355 , 35416.3231410097 
 356 , 35478.8123430964 
 357 , 35538.479160304 
 358 , 35592.8199161595 
 359 , 35651.3720918669 
 360 , 35722.5068202905 
 361 , 35801.5233924663 
 362 , 35877.9083183507 
 363 , 35946.1540256777 
 364 , 36014.0200920383 
 365 , 36091.0026507917 
 366 , 36175.9453458415 
 367 , 36256.5147098009 
 368 , 36320.0218032512 
 369 , 36354.9692045943 
 370 , 36350.4115974622 
 371 , 36313.1272060257 
 372 , 36293.3960144529 
 373 , 36345.212650554 
 374 , 36460.37573009 
 375 , 36570.1621028918 
 376 , 36615.9344283404 
 377 , 36617.0147815611 
 378 , 36622.4106653885 
 379 , 36657.1005925847 
 380 , 36692.760602825 
 381 , 36696.1516501531 
 382 , 36674.8032247489 
 383 , 36671.9152590555 
 384 , 36722.3363415131 
 385 , 36809.34442741 
 386 , 36899.006966359 
 387 , 36970.4801269758 
 388 , 37028.2579662994 
 389 , 37079.3975717931 
 390 , 37126.0421397371 
 391 , 37166.5886895328 
 392 , 37200.1314885031 
 393 , 37229.3657239669 
 394 , 37257.9875302818 
 395 , 37288.1080307063 
 396 , 37319.2363964449 
 397 , 37350.8294710826 
 398 , 37384.5347367941 
 399 , 37423.4079470246 
 400 , 37469.2442627763 
 401 , 37519.0798288427 
 402 , 37568.9385788567 
 403 , 37618.707148598 
 404 , 37673.5048638766 
 405 , 37737.5831162453 
 406 , 37804.1840511434 
 407 , 37860.7943061922 
 408 , 37901.4654439106 
 409 , 37939.5978413637 
 410 , 37991.638264596 
 411 , 38061.3448366386 
 412 , 38138.6826312982 
