11-20-2017,18:02:19
Wavenumber(cm-1),Intensity
 250 , 10 
 251 , 10 
 252 , 10 
 253 , 10 
 254 , 10 
 255 , 73.4765625 
 256 , 82.90625 
 257 , 108.390625 
 258 , 143.7578125 
 259 , 154.453125 
 260 , 103.046875 
 261 ,-3.140625 
 262 ,-101.78125 
 263 ,-129.8359375 
 264 ,-75.7109375 
 265 , 23.2109375 
 266 , 129.390625 
 267 , 208.2890625 
 268 , 227.6953125 
 269 , 180.5859375 
 270 , 118.375 
 271 , 101.9453125 
 272 , 144 
 273 , 207.1328125 
 274 , 252.375 
 275 , 281.421875 
 276 , 324.296875 
 277 , 402 
 278 , 495.4140625 
 279 , 574.4921875 
 280 , 617.8359375 
 281 , 620.90625 
 282 , 582.890625 
 283 , 535.5390625 
 284 , 539.421875 
 285 , 641.796875 
 286 , 792.6796875 
 287 , 902.8828125 
 288 , 915.921875 
 289 , 870.34375 
 290 , 820.5859375 
 291 , 796.9609375 
 292 , 797.1640625 
 293 , 815.0234375 
 294 , 834.8046875 
 295 , 837.2109375 
 296 , 812.203125 
 297 , 774.2890625 
 298 , 741.765625 
 299 , 721.890625 
 300 , 709.3125 
 301 , 697.890625 
 302 , 685.21875 
 303 , 672.0625 
 304 , 661.0390625 
 305 , 654.8203125 
 306 , 654.578125 
 307 , 658 
 308 , 664.34375 
 309 , 675.015625 
 310 , 693.03125 
 311 , 717.6484375 
 312 , 745.6484375 
 313 , 772.2265625 
 314 , 793.84375 
 315 , 815.7890625 
 316 , 856.4921875 
 317 , 933.765625 
 318 , 1040.8203125 
 319 , 1151.4375 
 320 , 1241.125 
 321 , 1300.8125 
 322 , 1327.859375 
 323 , 1327.359375 
 324 , 1316.21875 
 325 , 1311.734375 
 326 , 1326.8359375 
 327 , 1372.203125 
 328 , 1455.1796875 
 329 , 1560.5 
 330 , 1663.765625 
 331 , 1747.15625 
 332 , 1810.3984375 
 333 , 1856.1015625 
 334 , 1889.359375 
 335 , 1917.6953125 
 336 , 1947.140625 
 337 , 1970.671875 
