11-20-2017,19:26:21
Wavenumber(cm-1),Intensity
 250 , 15134.6733618775 
 251 , 15127.4413714381 
 252 , 15124.9483141021 
 253 , 15136.2875944435 
 254 , 15160.1837633432 
 255 , 15193.840456295 
 256 , 15225.8073081676 
 257 , 15238.1971256886 
 258 , 15218.5762223419 
 259 , 15184.8080436386 
 260 , 15164.8960943802 
 261 , 15175.2262262793 
 262 , 15205.4244054463 
 263 , 15241.6108352332 
 264 , 15276.1689359671 
 265 , 15308.1011604011 
 266 , 15336.7907738135 
 267 , 15362.1387975292 
 268 , 15384.298518594 
 269 , 15403.6260388582 
 270 , 15421.1445286338 
 271 , 15438.0236044837 
 272 , 15455.8580845133 
 273 , 15476.8622087184 
 274 , 15502.9611040713 
 275 , 15531.9321945056 
 276 , 15558.7695562109 
 277 , 15580.2803075151 
 278 , 15601.9773966503 
 279 , 15631.8594948201 
 280 , 15671.2587096563 
 281 , 15708.4322847664 
 282 , 15730.8952539123 
 283 , 15740.7266901638 
 284 , 15752.9310171624 
 285 , 15780.2342612669 
 286 , 15817.9569632635 
 287 , 15854.5856221931 
 288 , 15882.2008579105 
 289 , 15902.2108578581 
 290 , 15917.4962107597 
 291 , 15930.5350922483 
 292 , 15943.349010693 
 293 , 15957.5801317741 
 294 , 15971.8462926429 
 295 , 15983.2346133442 
 296 , 15990.6258996942 
 297 , 15998.9002776904 
 298 , 16014.076168248 
 299 , 16037.188268389 
 300 , 16062.2519073922 
 301 , 16083.1256540705 
 302 , 16097.8149610849 
 303 , 16106.9211655511 
 304 , 16111.797938334 
 305 , 16116.7546158715 
 306 , 16126.8209823895 
 307 , 16143.4539044762 
 308 , 16162.0394988096 
 309 , 16177.8155406564 
 310 , 16192.329551024 
 311 , 16211.8389206934 
 312 , 16241.0481934001 
 313 , 16276.3266817292 
 314 , 16311.4556869128 
 315 , 16342.0341753732 
 316 , 16367.2831435427 
 317 , 16386.9814259564 
 318 , 16403.2025143611 
 319 , 16419.995186754 
 320 , 16440.7419087058 
 321 , 16464.5611450489 
 322 , 16489.033073933 
 323 , 16512.6117646231 
 324 , 16535.7362348297 
 325 , 16559.0883018314 
 326 , 16582.6940498334 
 327 , 16605.9490325394 
 328 , 16628.8078225177 
 329 , 16655.0679390898 
 330 , 16690.0667636979 
 331 , 16734.5915881978 
 332 , 16778.0532804891 
 333 , 16808.5122921627 
 334 , 16823.8500699549 
 335 , 16832.172613196 
 336 , 16841.1308885375 
 337 , 16851.7095911665 
 338 , 16861.995853448 
 339 , 16872.4926045254 
 340 , 16890.1714712288 
 341 , 16922.6421497466 
 342 , 16965.9128575091 
 343 , 17003.3141265214 
 344 , 17020.0610107659 
 345 , 17020.3053875167 
 346 , 17016.7816853883 
 347 , 17018.398214346 
 348 , 17023.4333632667 
 349 , 17028.4685376971 
 350 , 17033.2477345329 
 351 , 17041.0316957815 
 352 , 17054.829374379 
 353 , 17074.3582701721 
 354 , 17097.833130606 
 355 , 17124.3771794632 
 356 , 17155.6219932707 
 357 , 17193.4368176893 
 358 , 17234.5589223234 
 359 , 17270.095812945 
 360 , 17292.7249500758 
 361 , 17308.7542856888 
 362 , 17330.5550267444 
 363 , 17366.3537718835 
 364 , 17413.3775780754 
 365 , 17466.9632044645 
 366 , 17519.9615836363 
 367 , 17562.6153977563 
 368 , 17587.0223109943 
 369 , 17598.8589936864 
 370 , 17609.4911879444 
 371 , 17626.3228501174 
 372 , 17646.9848486635 
 373 , 17667.7614491991 
 374 , 17687.6910998163 
 375 , 17708.4922916139 
 376 , 17731.6471937754 
 377 , 17756.4879951575 
 378 , 17781.5281032823 
 379 , 17805.9209962716 
 380 , 17830.2401178866 
 381 , 17855.2277286733 
 382 , 17881.2328723342 
 383 , 17908.2605473825 
 384 , 17936.7721308304 
 385 , 17969.754852529 
 386 , 18011.0011227503 
 387 , 18059.161709028 
 388 , 18102.9424086749 
 389 , 18130.7664930517 
 390 , 18143.6542727915 
 391 , 18152.2295958285 
 392 , 18165.6807156035 
 393 , 18185.565364522 
 394 , 18211.2581473291 
 395 , 18241.1222215358 
 396 , 18271.8606757031 
 397 , 18300.4428527907 
 398 , 18328.7022582677 
 399 , 18361.5993766934 
 400 , 18401.91950466 
 401 , 18444.1934743582 
 402 , 18481.1422171365 
 403 , 18509.8656217057 
 404 , 18533.3956227032 
 405 , 18555.2011345494 
 406 , 18578.8845849968 
 407 , 18608.1170517987 
 408 , 18645.1688876281 
 409 , 18688.2117797064 
 410 , 18734.631790718 
 411 , 18780.734060434 
 412 , 18821.648723313 
 413 , 18853.5604475936 
 414 , 18880.0898446058 
 415 , 18907.8857791287 
 416 , 18939.8211121576 
 417 , 18970.2561352947 
 418 , 18992.7305055266 
 419 , 19006.7105696635 
 420 , 19016.6809724594 
 421 , 19027.3637134969 
 422 , 19043.8687222601 
 423 , 19071.3635809603 
 424 , 19110.2971069367 
 425 , 19153.1341069873 
 426 , 19191.795302546 
 427 , 19220.803174111 
 428 , 19236.3391117624 
 429 , 19238.0139461113 
 430 , 19237.4096608177 
 431 , 19248.4685495501 
 432 , 19275.5274544236 
 433 , 19310.956627232 
 434 , 19346.7543611803 
 435 , 19377.8043265724 
 436 , 19400.3285978276 
 437 , 19413.8085669953 
