nm,Abs,
600.00,  0.030,
599.00,  0.031,
598.00,  0.031,
597.00,  0.031,
596.00,  0.032,
595.00,  0.032,
594.00,  0.033,
593.00,  0.034,
592.00,  0.034,
591.00,  0.035,
590.00,  0.036,
589.00,  0.036,
588.00,  0.037,
587.00,  0.038,
586.00,  0.038,
585.00,  0.039,
584.00,  0.039,
583.00,  0.040,
582.00,  0.041,
581.00,  0.042,
580.00,  0.042,
579.00,  0.043,
578.00,  0.043,
577.00,  0.044,
576.00,  0.045,
575.00,  0.045,
574.00,  0.046,
573.00,  0.046,
572.00,  0.047,
571.00,  0.048,
570.00,  0.048,
569.00,  0.049,
568.00,  0.050,
567.00,  0.050,
566.00,  0.051,
565.00,  0.052,
564.00,  0.052,
563.00,  0.053,
562.00,  0.053,
561.00,  0.054,
560.00,  0.055,
559.00,  0.055,
558.00,  0.056,
557.00,  0.057,
556.00,  0.057,
555.00,  0.058,
554.00,  0.059,
553.00,  0.059,
552.00,  0.060,
551.00,  0.061,
550.00,  0.061,
549.00,  0.062,
548.00,  0.063,
547.00,  0.063,
546.00,  0.064,
545.00,  0.064,
544.00,  0.065,
543.00,  0.066,
542.00,  0.067,
541.00,  0.067,
540.00,  0.068,
539.00,  0.069,
538.00,  0.069,
537.00,  0.070,
536.00,  0.070,
535.00,  0.072,
534.00,  0.072,
533.00,  0.072,
532.00,  0.073,
531.00,  0.074,
530.00,  0.074,
529.00,  0.075,
528.00,  0.076,
527.00,  0.076,
526.00,  0.076,
525.00,  0.077,
524.00,  0.077,
523.00,  0.078,
522.00,  0.078,
521.00,  0.078,
520.00,  0.079,
519.00,  0.079,
518.00,  0.080,
517.00,  0.080,
516.00,  0.081,
515.00,  0.081,
514.00,  0.081,
513.00,  0.081,
512.00,  0.082,
511.00,  0.082,
510.00,  0.082,
509.00,  0.083,
508.00,  0.083,
507.00,  0.083,
506.00,  0.083,
505.00,  0.084,
504.00,  0.083,
503.00,  0.084,
502.00,  0.084,
501.00,  0.084,
500.00,  0.084,
499.00,  0.084,
498.00,  0.084,
497.00,  0.085,
496.00,  0.085,
