nm,Abs,
600.00,  0.024,
599.00,  0.025,
598.00,  0.025,
597.00,  0.026,
596.00,  0.026,
595.00,  0.027,
594.00,  0.028,
593.00,  0.028,
592.00,  0.029,
591.00,  0.029,
590.00,  0.030,
589.00,  0.031,
588.00,  0.032,
587.00,  0.032,
586.00,  0.033,
585.00,  0.033,
584.00,  0.034,
583.00,  0.035,
582.00,  0.036,
581.00,  0.037,
580.00,  0.037,
579.00,  0.038,
578.00,  0.039,
577.00,  0.039,
576.00,  0.040,
575.00,  0.041,
574.00,  0.041,
573.00,  0.042,
572.00,  0.043,
571.00,  0.043,
570.00,  0.044,
569.00,  0.044,
568.00,  0.045,
567.00,  0.046,
566.00,  0.047,
565.00,  0.047,
564.00,  0.048,
563.00,  0.048,
562.00,  0.049,
561.00,  0.050,
560.00,  0.050,
559.00,  0.051,
558.00,  0.051,
557.00,  0.052,
556.00,  0.053,
555.00,  0.054,
554.00,  0.054,
553.00,  0.055,
552.00,  0.055,
551.00,  0.056,
550.00,  0.056,
549.00,  0.057,
548.00,  0.057,
547.00,  0.058,
546.00,  0.059,
545.00,  0.059,
544.00,  0.060,
543.00,  0.061,
542.00,  0.061,
541.00,  0.062,
540.00,  0.062,
539.00,  0.063,
538.00,  0.064,
537.00,  0.064,
536.00,  0.065,
535.00,  0.065,
534.00,  0.066,
533.00,  0.067,
532.00,  0.067,
531.00,  0.068,
530.00,  0.068,
529.00,  0.069,
528.00,  0.069,
527.00,  0.070,
526.00,  0.070,
525.00,  0.070,
524.00,  0.071,
523.00,  0.071,
522.00,  0.072,
521.00,  0.072,
520.00,  0.072,
519.00,  0.072,
518.00,  0.073,
517.00,  0.073,
516.00,  0.073,
515.00,  0.074,
514.00,  0.074,
513.00,  0.074,
512.00,  0.074,
511.00,  0.074,
510.00,  0.074,
509.00,  0.074,
508.00,  0.074,
507.00,  0.074,
506.00,  0.074,
505.00,  0.074,
504.00,  0.074,
503.00,  0.074,
502.00,  0.074,
501.00,  0.074,
500.00,  0.074,
499.00,  0.074,
498.00,  0.074,
497.00,  0.074,
496.00,  0.074,
495.00,  0.073,
494.00,  0.073,
493.00,  0.073,
492.00,  0.073,
491.00,  0.073,
490.00,  0.073,
489.00,  0.073,
488.00,  0.073,
487.00,  0.073,
486.00,  0.072,
485.00,  0.072,
484.00,  0.072,
483.00,  0.072,
482.00,  0.072,
481.00,  0.072,
480.00,  0.072,
479.00,  0.072,
478.00,  0.072,
477.00,  0.072,
476.00,  0.072,
475.00,  0.072,
474.00,  0.072,
473.00,  0.072,
472.00,  0.072,
471.00,  0.072,
470.00,  0.072,
469.00,  0.073,
468.00,  0.073,
467.00,  0.072,
466.00,  0.073,
465.00,  0.072,
464.00,  0.072,
463.00,  0.072,
462.00,  0.072,
461.00,  0.072,
460.00,  0.072,
459.00,  0.072,
458.00,  0.072,
457.00,  0.072,
456.00,  0.072,
455.00,  0.072,
454.00,  0.072,
453.00,  0.072,
452.00,  0.072,
451.00,  0.072,
450.00,  0.072,
449.00,  0.072,
448.00,  0.072,
447.00,  0.072,
446.00,  0.072,
445.00,  0.072,
444.00,  0.072,
443.00,  0.072,
442.00,  0.072,
441.00,  0.072,
440.00,  0.071,
439.00,  0.071,
438.00,  0.071,
437.00,  0.072,
436.00,  0.072,
435.00,  0.072,
434.00,  0.071,
433.00,  0.072,
432.00,  0.072,
431.00,  0.071,
430.00,  0.072,
429.00,  0.072,
428.00,  0.072,
427.00,  0.072,
426.00,  0.072,
425.00,  0.072,
424.00,  0.072,
423.00,  0.072,
422.00,  0.072,
421.00,  0.071,
420.00,  0.071,
419.00,  0.071,
418.00,  0.071,
417.00,  0.072,
416.00,  0.072,
415.00,  0.071,
414.00,  0.072,
413.00,  0.072,
412.00,  0.072,
411.00,  0.072,
410.00,  0.072,
409.00,  0.073,
408.00,  0.073,
407.00,  0.073,
406.00,  0.073,
405.00,  0.074,
404.00,  0.074,
403.00,  0.074,
402.00,  0.075,
