nm,Abs,
600.00,  0.043,
599.00,  0.044,
598.00,  0.045,
597.00,  0.045,
596.00,  0.046,
595.00,  0.047,
594.00,  0.048,
593.00,  0.049,
592.00,  0.050,
591.00,  0.051,
590.00,  0.052,
589.00,  0.053,
588.00,  0.054,
587.00,  0.055,
586.00,  0.057,
585.00,  0.057,
584.00,  0.059,
583.00,  0.060,
582.00,  0.061,
581.00,  0.062,
580.00,  0.063,
579.00,  0.064,
578.00,  0.065,
577.00,  0.066,
576.00,  0.067,
575.00,  0.068,
574.00,  0.069,
573.00,  0.069,
572.00,  0.071,
571.00,  0.071,
570.00,  0.072,
569.00,  0.073,
568.00,  0.074,
567.00,  0.075,
566.00,  0.076,
565.00,  0.077,
564.00,  0.078,
563.00,  0.079,
562.00,  0.079,
561.00,  0.080,
560.00,  0.081,
559.00,  0.082,
558.00,  0.083,
557.00,  0.084,
556.00,  0.085,
555.00,  0.086,
554.00,  0.086,
553.00,  0.087,
552.00,  0.088,
551.00,  0.089,
550.00,  0.090,
549.00,  0.090,
548.00,  0.091,
547.00,  0.092,
546.00,  0.092,
545.00,  0.093,
544.00,  0.094,
543.00,  0.095,
542.00,  0.096,
541.00,  0.097,
540.00,  0.097,
539.00,  0.098,
538.00,  0.099,
537.00,  0.099,
536.00,  0.100,
535.00,  0.101,
534.00,  0.102,
533.00,  0.103,
532.00,  0.103,
531.00,  0.104,
530.00,  0.104,
529.00,  0.105,
528.00,  0.105,
527.00,  0.106,
526.00,  0.106,
525.00,  0.107,
524.00,  0.107,
523.00,  0.107,
522.00,  0.108,
521.00,  0.108,
520.00,  0.108,
519.00,  0.108,
518.00,  0.108,
517.00,  0.109,
516.00,  0.109,
515.00,  0.109,
514.00,  0.109,
513.00,  0.109,
512.00,  0.109,
511.00,  0.109,
510.00,  0.109,
509.00,  0.109,
508.00,  0.109,
507.00,  0.109,
506.00,  0.109,
505.00,  0.109,
504.00,  0.109,
503.00,  0.108,
502.00,  0.108,
501.00,  0.108,
500.00,  0.108,
499.00,  0.108,
498.00,  0.108,
497.00,  0.108,
496.00,  0.108,
495.00,  0.107,
494.00,  0.107,
493.00,  0.107,
